workflow,process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
methylseq,NFCORE_METHYLSEQ:FASTA_INDEX_METHYLSEQ:GUNZIP,902bc39736a26365c52fb6040cf5476f,100352,4278061,3670016,32202752,0
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,417855970a0e81cd6032b9986ea97618,14784921,52324628,271476326,345133056,4
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,5c771686bd1e3174322acd63f5511b95,14155776,49723879,219257241,294944768,4
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,c6f8895991231df57da9296f722c10e6,15414067,51970140,302304460,385732608,4
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,ded1f105a47f15155e6987d3bfbab0fd,80320921,100268457,215167795,312725504,5
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,bee0675c13e4fe04fb1e2425b59b6fe9,94266982,90725153,195454566,297926656,6
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,270808193677ea68c44b19b4e654be66,108317900,102663392,212022067,321601536,5
methylseq,NFCORE_METHYLSEQ:FASTA_INDEX_METHYLSEQ:BISMARK_GENOMEPREPARATION_BOWTIE,4077ea22d757229b85ec3f8ca6c18348,4718592,15101445,123102822,229478400,6
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,abb7421f8abc27d0e61669e7d939f5a3,13107200,50620647,305555046,379904000,4
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,3c25daa0ab67e092218ed5d7c491332c,62704844,87996617,202480025,298975232,8
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,691c51b60142d7c5402e352c280ee695,140509184,90735394,137363456,184463360,11
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,3744968aac0aadb90b4795087dcadbec,170498457,119864296,152148377,174555136,12
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,37a4c447ec31a23a50ecb1d73c33f482,54001664,45343387,104123596,121610240,7
methylseq,NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,9814254fd2c936f786f00abe30a3f634,19922944,6703789,6606028,55803904,0
