process,task_hash,task_name,work_dir,wrapper_pid,launch_pid,audit_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_task_id,trace_native_id,trace_tag,trace_status,trace_exit,trace_attempt,trace_cpus,trace_time,trace_memory,trace_duration,trace_realtime,trace_queue,trace_cpu_pct,trace_mem_pct,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem,trace_rss,trace_peak_vmem,trace_peak_rss
ALIGN_CHUNK,003faaea63c19e703bbfa530d71b1ed6,ALIGN_CHUNK (ERR1094294_chunk_2),/shared/bowtie2_audit_nf/work/00/3faaea63c19e703bbfa530d71b1ed6,1884847,1884957,1884963,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_003faaea63c19e703bbfa530d71b1ed6/ebpf_attribution_1884957.tsv,1259,40339275,13807616,54146891,926,79270,ERR1094294_chunk_2,COMPLETED,0,1,2,2h,4 GB,35.6s,12.4s,compute,177.70%,0.00%,62.6 MB,41.5 MB,4706,4593,7.4 MB,8.3 MB,1.9 GB,95.2 MB,2 GB,95.2 MB
ALIGN_CHUNK,004664e5b0fb5cad1cc759825da961d0,ALIGN_CHUNK (ERR1094282_chunk_14),/shared/bowtie2_audit_nf/work/00/4664e5b0fb5cad1cc759825da961d0,2044571,2044966,2044979,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_004664e5b0fb5cad1cc759825da961d0/ebpf_attribution_2044966.tsv,1494,40701438,12365824,53067262,1490,79833,ERR1094282_chunk_14,COMPLETED,0,1,2,2h,4 GB,1m 11s,15.1s,compute,174.20%,0.00%,63.5 MB,42.3 MB,4629,4663,7.7 MB,8.5 MB,1.9 GB,97.4 MB,2 GB,97.4 MB
ALIGN_CHUNK,00b1246229f8848ae43ca2cb25e2e1f8,ALIGN_CHUNK (ERR1094305_chunk_2),/shared/bowtie2_audit_nf/work/00/b1246229f8848ae43ca2cb25e2e1f8,34686,34981,34997,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_00b1246229f8848ae43ca2cb25e2e1f8/ebpf_attribution_34981.tsv,1398,40012749,13438976,53451725,1049,79391,ERR1094305_chunk_2,COMPLETED,0,1,2,2h,4 GB,37.6s,13.5s,compute,173.90%,0.00%,62.1 MB,41 MB,4560,4588,6.9 MB,7.8 MB,1.9 GB,96.6 MB,2 GB,96.6 MB
ALIGN_CHUNK,00dee39223c6c149c9db51a8e9ac6547,ALIGN_CHUNK (ERR1094271_chunk_12),/shared/bowtie2_audit_nf/work/00/dee39223c6c149c9db51a8e9ac6547,35958,36255,36279,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_00dee39223c6c149c9db51a8e9ac6547/ebpf_attribution_36255.tsv,1359,41272609,13594624,54867233,710,79053,ERR1094271_chunk_12,COMPLETED,0,1,2,2h,4 GB,26.1s,14.4s,compute,175.40%,0.00%,63.7 MB,42.5 MB,4709,4626,8.2 MB,9.1 MB,1.9 GB,97.4 MB,2 GB,97.4 MB
ALIGN_CHUNK,00e59d171d6e8b1b3aa4d838ca664cc3,ALIGN_CHUNK (ERR1094299_chunk_36),/shared/bowtie2_audit_nf/work/00/e59d171d6e8b1b3aa4d838ca664cc3,1920659,1920740,1920741,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_00e59d171d6e8b1b3aa4d838ca664cc3/ebpf_attribution_1920740.tsv,1510,40208428,12423168,52631596,1033,79375,ERR1094299_chunk_36,COMPLETED,0,1,2,2h,4 GB,32.2s,12.2s,compute,171.80%,0.00%,62.7 MB,41.4 MB,4698,4611,7.2 MB,8 MB,1.9 GB,92.1 MB,2 GB,92.1 MB
ALIGN_CHUNK,010011238b9eb8b1620a1589453810a6,ALIGN_CHUNK (ERR1094262_chunk_16),/shared/bowtie2_audit_nf/work/01/0011238b9eb8b1620a1589453810a6,1694344,1694401,1694402,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_010011238b9eb8b1620a1589453810a6/ebpf_attribution_1694401.tsv,1260,40632173,13467648,54099821,664,79006,ERR1094262_chunk_16,COMPLETED,0,1,2,2h,4 GB,37.3s,14.3s,compute,176.00%,0.00%,63.2 MB,42 MB,4664,4623,4.8 MB,8.5 MB,1.9 GB,95.3 MB,2 GB,95.3 MB
ALIGN_CHUNK,01400b0e0d18ebb256afbd903935040f,ALIGN_CHUNK (ERR1094298_chunk_1),/shared/bowtie2_audit_nf/work/01/400b0e0d18ebb256afbd903935040f,1532728,1532839,1532846,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_01400b0e0d18ebb256afbd903935040f/ebpf_attribution_1532839.tsv,1515,38754608,12791808,51546416,474,78815,ERR1094298_chunk_1,COMPLETED,0,1,2,2h,4 GB,31.7s,10.5s,compute,172.30%,0.00%,56.2 MB,35 MB,4003,3962,2.9 MB,6.6 MB,1.9 GB,87.9 MB,2 GB,87.9 MB
ALIGN_CHUNK,01591154a18d94fd272cb039a327f275,ALIGN_CHUNK (ERR1094281_chunk_17),/shared/bowtie2_audit_nf/work/01/591154a18d94fd272cb039a327f275,5197,7315,7316,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_01591154a18d94fd272cb039a327f275/ebpf_attribution_7315.tsv,1045,32345021,11038720,43383741,118,78460,ERR1094281_chunk_17,COMPLETED,0,1,2,2h,4 GB,7m 29s,4.6s,compute,174.50%,0.00%,35.2 MB,13.5 MB,1805,1671,2.5 MB,2.8 MB,1.9 GB,67.7 MB,2 GB,67.7 MB
ALIGN_CHUNK,018b65979237386eb239c577f5b4523f,ALIGN_CHUNK (ERR1094279_chunk_24),/shared/bowtie2_audit_nf/work/01/8b65979237386eb239c577f5b4523f,1308249,1308364,1308365,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_018b65979237386eb239c577f5b4523f/ebpf_attribution_1308364.tsv,1415,28595063,5603328,34198391,65,78409,ERR1094279_chunk_24,COMPLETED,0,1,2,2h,4 GB,17.2s,2.9s,compute,164.90%,0.00%,30.4 MB,8.6 MB,1238,1160,4 KB,1.8 MB,1.9 GB,66.3 MB,2 GB,66.3 MB
ALIGN_CHUNK,01bdde6be1f47b8e99dac110d41be1be,ALIGN_CHUNK (ERR1094259_chunk_28),/shared/bowtie2_audit_nf/work/01/bdde6be1f47b8e99dac110d41be1be,4468,51706,51707,/shared/bowtie2_audit_nf/results/ebpf/ALIGN_CHUNK/task_01bdde6be1f47b8e99dac110d41be1be/ebpf_attribution_51706.tsv,980,41846427,16175104,58021531,297,78638,ERR1094259_chunk_28,COMPLETED,0,1,2,2h,4 GB,8m 54s,12.8s,compute,182.00%,0.00%,64.4 MB,43.7 MB,4681,4666,8.6 MB,9.9 MB,1.9 GB,93.2 MB,2 GB,93.2 MB
