process,task_hash,task_name,work_dir,wrapper_pid,launch_pid,audit_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_task_id,trace_native_id,trace_tag,trace_status,trace_exit,trace_attempt,trace_cpus,trace_time,trace_memory,trace_duration,trace_realtime,trace_queue,trace_cpu_pct,trace_mem_pct,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem,trace_rss,trace_peak_vmem,trace_peak_rss
BUILD_INDEX,02339858aa1b24244d0c8b28c0c8633e,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/02/339858aa1b24244d0c8b28c0c8633e,920876,920911,920913,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_02339858aa1b24244d0c8b28c0c8633e/ebpf_attribution_920911.tsv,578,542001,622592,1164593,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,340ca819386f2b512c287edbfa8b51d2,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/34/0ca819386f2b512c287edbfa8b51d2,922940,922959,922960,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_340ca819386f2b512c287edbfa8b51d2/ebpf_attribution_922959.tsv,578,541902,651264,1193166,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,3a62f03709ebb638e866c51e02cf6510,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/3a/62f03709ebb638e866c51e02cf6510,1060795,1060814,1060815,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_3a62f03709ebb638e866c51e02cf6510/ebpf_attribution_1060814.tsv,943,8373171,1855488,10228659,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,3afafebb3f54fd35c1e824e4c963f05f,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/3a/fafebb3f54fd35c1e824e4c963f05f,923150,923169,923170,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_3afafebb3f54fd35c1e824e4c963f05f/ebpf_attribution_923169.tsv,578,542092,614400,1156492,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,6c2b8e40f99bad956081b6d20c440124,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/6c/2b8e40f99bad956081b6d20c440124,924833,924944,924947,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_6c2b8e40f99bad956081b6d20c440124/ebpf_attribution_924944.tsv,1346,8756702,1851392,10608094,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,7999c7e2ce80963c37f0e6d4c96339ed,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/79/99c7e2ce80963c37f0e6d4c96339ed,1060633,1060652,1060653,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_7999c7e2ce80963c37f0e6d4c96339ed/ebpf_attribution_1060652.tsv,943,8373286,1830912,10204198,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,858d9681d9990d0a5e5670b7b2e1efca,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/85/8d9681d9990d0a5e5670b7b2e1efca,923046,923065,923066,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_858d9681d9990d0a5e5670b7b2e1efca/ebpf_attribution_923065.tsv,578,541999,634880,1176879,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,988e94ff59f1364fe5a618b6f78a7f81,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/98/8e94ff59f1364fe5a618b6f78a7f81,922333,922360,922361,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_988e94ff59f1364fe5a618b6f78a7f81/ebpf_attribution_922360.tsv,578,542001,663552,1205553,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,cc29a78f63127e74aebb4a8ced80f354,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/cc/29a78f63127e74aebb4a8ced80f354,1060957,1060976,1060977,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_cc29a78f63127e74aebb4a8ced80f354/ebpf_attribution_1060976.tsv,942,8373402,1818624,10192026,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
BUILD_INDEX,d65bebf65cf3196500f6b7d9a52769c9,BUILD_INDEX (genome_mmi),/shared/minimap2_audit_nf/work/d6/5bebf65cf3196500f6b7d9a52769c9,924027,924538,924539,/shared/minimap2_audit_nf/results/ebpf/BUILD_INDEX/task_d65bebf65cf3196500f6b7d9a52769c9/ebpf_attribution_924538.tsv,868,8325337,1863680,10189017,3,74576,genome_mmi,COMPLETED,0,1,2,1h,2 GB,33.5s,461ms,compute,67.7%,0.0%,6.9 MB,11.6 MB,508,1305,4 KB,11.6 MB,173.7 MB,13.8 MB,237.6 MB,13.8 MB
