process,task_hash,task_name,work_dir,wrapper_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_realtime_ms,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem_kb,trace_rss_kb,trace_peak_vmem_kb,trace_peak_rss_kb,trace_vol_ctxt,trace_inv_ctxt
ASHLAR,0000264d79257ee3952e6177e5d18443,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0375),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/00/00264d79257ee3952e6177e5d18443,199819,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_0000264d79257ee3952e6177e5d18443/ebpf_attribution_200676.tsv,3305,189446712,31129600,220576312,29000,194717473,7874309,24619,800,129891328,7880704,33948932,221848,33948932,221848,5867,4187
ASHLAR,012674f1ddb23ce1edb84656b9a2bc86,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0144),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/01/2674f1ddb23ce1edb84656b9a2bc86,2272953,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_012674f1ddb23ce1edb84656b9a2bc86/ebpf_attribution_2274022.tsv,3306,194784953,31694848,226479801,29000,194717995,7874325,24621,800,129813504,7880704,33948840,221740,33948840,221740,5829,3534
ASHLAR,01275d3f5fd64d333ea588e8159f3fae,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0141),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/01/275d3f5fd64d333ea588e8159f3fae,2272943,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_01275d3f5fd64d333ea588e8159f3fae/ebpf_attribution_2274111.tsv,3306,189333110,31141888,220474998,29000,194718093,7874325,24621,800,129893376,7880704,33948588,221428,33948588,221428,5828,2596
ASHLAR,0149220fe17c5c147b994e28c4055c53,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0020),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/01/49220fe17c5c147b994e28c4055c53,2268525,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_0149220fe17c5c147b994e28c4055c53/ebpf_attribution_2268775.tsv,3306,188078133,31485952,219564085,29000,194717811,7874325,24621,800,129566720,7880704,33948764,222292,33948764,222292,5882,3537
ASHLAR,019482de1626a5cce06c38b841004453,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0138),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/01/9482de1626a5cce06c38b841004453,2272962,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_019482de1626a5cce06c38b841004453/ebpf_attribution_2273980.tsv,3302,196584731,30760960,227345691,27000,194708823,7874325,24617,800,129247232,7880704,33946692,221840,33946692,221840,5765,3063
ASHLAR,02a7bd1891ec857c6ecaa7e080f886ed,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0411),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/02/a7bd1891ec857c6ecaa7e080f886ed,2373977,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_02a7bd1891ec857c6ecaa7e080f886ed/ebpf_attribution_2374710.tsv,3303,188004676,31735808,219740484,29000,194708774,7874325,24617,800,129056768,7880704,33946240,221904,33946240,221904,5766,3123
ASHLAR,0312aa688e710b88d6b8e697d005159d,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0409),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/03/12aa688e710b88d6b8e697d005159d,2373981,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_0312aa688e710b88d6b8e697d005159d/ebpf_attribution_2375040.tsv,3305,187950152,31801344,219751496,30000,194717993,7874325,24620,800,129501184,7880704,33949400,222684,33949400,222684,5697,3573
ASHLAR,034c9c59eb431559e18f2e313218fca9,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0188),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/03/4c9c59eb431559e18f2e313218fca9,131338,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_034c9c59eb431559e18f2e313218fca9/ebpf_attribution_132415.tsv,3306,187949018,31727616,219676634,30000,194717463,7874309,24620,800,130016256,7880704,33948740,221648,33948740,221648,5683,6263
ASHLAR,03cdbf020a9892604859d62f3a78ab53,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0419),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/03/cdbf020a9892604859d62f3a78ab53,2374000,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_03cdbf020a9892604859d62f3a78ab53/ebpf_attribution_2374999.tsv,3306,189703576,30740480,220444056,29000,194718136,7874325,24624,800,129950720,7880704,33948836,221352,33948836,221352,5784,3211
ASHLAR,03de1c624908fc2c9f31f8fb1abba140,NFCORE_MCMICRO:MCMICRO:ASHLAR (PUBLIC_0039),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/03/de1c624908fc2c9f31f8fb1abba140,130953,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/ASHLAR/task_03de1c624908fc2c9f31f8fb1abba140/ebpf_attribution_131888.tsv,3306,196643634,31432704,228076338,29000,194717425,7874309,24620,800,129943552,7880704,33948864,221624,33948864,221624,5766,4714
