workflow,process,a,c,M,runtime_sec,safe_old_bytes,safe_new_bytes,OOM_old,OOM_new,waste_old_GBh,waste_new_GBh
iwd,demToGraph,30916214.0,,290201600.0,6.094,304411121.63654065,360242970.1035251,0,0,2.240162571816569e-05,0.00011042177196252729
iwd,demToGraph,30916438.0,,289673216.0,5.987,308896690.9929672,367345798.45976055,0,0,2.977410972503701e-05,0.00012030249440488571
iwd,demToGraph,30912829.0,,290054144.0,5.905,307998603.960654,410338332.72093004,0,0,2.741245451167588e-05,0.00018374946133882736
iwd,demToGraph,30901050.0,,290029568.0,6.021,318071441.79775923,339028030.72274685,0,0,4.367906034621626e-05,7.632181877623695e-05
iwd,demToGraph,30901012.0,,289411072.0,6.073,313944650.3210418,349425919.94784003,0,0,3.854444590492562e-05,9.428869404810184e-05
iwd,demToGraph,30912213.0,,291160064.0,5.758,305792901.2336532,355417546.10616505,0,0,2.1797055583285545e-05,9.571786296432278e-05
iwd,demToGraph,30900956.0,,300855296.0,6.285,321685436.5724641,365333217.43460464,0,0,3.38684336742637e-05,0.00010483684437776042
iwd,demToGraph,30916265.0,,289820672.0,5.916,306765350.1782958,361847965.0916131,0,0,2.5933379747904296e-05,0.00011023585838006582
iwd,demToGraph,30901013.0,,310829056.0,6.599,327111206.4923794,349148247.6927509,0,0,2.7796334043562166e-05,6.54172219492451e-05
iwd,demToGraph,30901050.0,,317329408.0,6.627,318071441.79775923,339028030.72274685,0,0,1.2721498956672147e-06,3.720032795840547e-05
iwd,demToGraph,30900785.0,,311676928.0,6.534,320080600.5161239,418530646.3884821,0,0,1.4205151811954436e-05,0.00018062023341198916
iwd,demToGraph,30901011.0,,311508992.0,6.793,313944650.3210418,349703813.0314231,0,0,4.280313791199354e-06,6.712181992064568e-05
iwd,demToGraph,30900967.0,,289411072.0,6.297,320834108.14423496,362152427.12027264,0,0,5.118933263137717e-05,0.00011849846100857812
iwd,demToGraph,30900470.0,,301297664.0,6.382,327378433.14660037,537628792.1028658,0,0,4.3060079189432245e-05,0.0003901893013137521
iwd,demToGraph,30900357.0,,289488896.0,6.073,311557050.57415295,588161480.7627717,0,0,3.4671044683091876e-05,0.0004692413449039871
iwd,demToGraph,30901050.0,,289755136.0,6.148,318071441.79775923,339028030.72274685,0,0,4.5036857752290806e-05,7.836814471920115e-05
iwd,demToGraph,30900955.0,,307249152.0,6.351,315448478.7528692,365623761.8907559,0,0,1.3471561434231755e-05,9.590996517701247e-05
iwd,demToGraph,30900469.0,,313999360.0,6.598,321581979.5362447,538056367.5621326,0,0,1.2942828781318765e-05,0.0003824445460133852
iwd,demToGraph,30901013.0,,308973568.0,6.41,327111206.4923794,349148247.6927509,0,0,3.0077130517237334e-05,6.662052974066932e-05
iwd,demToGraph,30900357.0,,293142528.0,5.755,311557050.57415295,588161480.7627717,0,0,2.7415957667722627e-05,0.00043923088896547527
iwd,demToGraph,30900928.0,,290029568.0,6.135,315448478.7528692,373556413.4239453,0,0,4.0343087546540956e-05,0.00013256786926026158
iwd,demToGraph,30900739.0,,290451456.0,6.281,315823803.4190218,434119120.79497254,0,0,4.1227506820028596e-05,0.00023344547244027425
iwd,demToGraph,30900787.0,,314101760.0,6.588,327670271.5986914,417865732.8021257,0,0,2.3125089915101667e-05,0.00017684704645340332
iwd,demToGraph,30900966.0,,311128064.0,6.728,321133975.7468516,362440441.8113466,0,0,1.741567373917793e-05,8.931116457478553e-05
iwd,demToGraph,30900785.0,,316944384.0,6.658,320080600.5161239,418530646.3884821,0,0,5.40191141173266e-06,0.00017497516107396578
iwd,demToGraph,30900956.0,,301043712.0,6.338,321685436.5724641,365333217.43460464,0,0,3.384510322688083e-05,0.0001054119746729846
iwd,demToGraph,30901013.0,,317259776.0,6.531,327111206.4923794,349148247.6927509,0,0,1.6644724475460446e-05,5.38779444954658e-05
iwd,demToGraph,30900965.0,,291594240.0,5.907,314410993.9756878,362728685.5880761,0,0,3.486731134520322e-05,0.00010870375621048879
iwd,demToGraph,30900739.0,,290664448.0,6.06,315823803.4190218,434119120.79497254,0,0,3.9442984035257256e-05,0.00022489766826685868
iwd,demToGraph,30900356.0,,292425728.0,5.993,316529253.21734524,588629246.49701,0,0,3.736994607672872e-05,0.0004592319759934988
iwd,demToGraph,30900469.0,,316604416.0,6.773,321581979.5362447,538056367.5621326,0,0,8.721586997461734e-06,0.00038802366805426467
iwd,demToGraph,30916520.0,,317833216.0,6.497,317782192.4236449,369980799.9581258,1,0,0.0,8.764854036684032e-05
iwd,demToGraph,30900740.0,,302968832.0,6.311,319636688.5044726,433774143.8295391,0,0,2.7212946158245688e-05,0.00021356062833122012
iwd,demToGraph,30915911.0,,290930688.0,5.838,304364667.235916,355430276.8379604,0,0,2.028926864972072e-05,9.74133920224624e-05
iwd,demToGraph,30900956.0,,302010368.0,6.39,321685436.5724641,365333217.43460464,0,0,3.252480804559196e-05,0.00010467884852217812
iwd,demToGraph,30900355.0,,289341440.0,6.255,309150866.7583562,589097384.2974691,0,0,3.2055078998807744e-05,0.00048505696767647995
iwd,demToGraph,30900968.0,,305819648.0,6.44,322664341.49961406,361864641.30118454,0,0,2.8063808603397092e-05,9.337278622606884e-05
iwd,demToGraph,30900468.0,,289427456.0,5.997,321581979.5362447,538484283.0715903,0,0,4.988543421414459e-05,0.0003863937821519476
iwd,demToGraph,30912452.0,,290271232.0,6.014,307079438.44029784,408620731.87124944,0,0,2.6150646291453604e-05,0.0001841312409445059
iwd,demToGraph,30901012.0,,289533952.0,6.232,313944650.3210418,349425919.94784003,0,0,3.9355485787183834e-05,9.655919967295269e-05
iwd,demToGraph,30900956.0,,311025664.0,6.816,321685436.5724641,365333217.43460464,0,0,1.8796420411391847e-05,9.576073025308376e-05
